title,count,mean,std,min,25%,50%,75%,max
金海里,8.0,7606.0,761.0,6547.0,7158.0,7362.0,8150.0,8733.0
金润小区A区,127.0,9081.0,1164.0,5436.0,8414.0,9198.0,9690.0,13117.0
金润小区B区,190.0,8925.0,1155.0,4261.0,8432.0,8945.0,9512.0,15000.0
金渤海憬,8.0,7218.0,934.0,6147.0,6552.0,7058.0,7780.0,8614.0
金湖里,5.0,7621.0,1217.0,6164.0,6935.0,7250.0,8742.0,9014.0
金湾十里海,2.0,9811.0,680.0,9330.0,9570.0,9811.0,10052.0,10292.0
金湾山城,235.0,9850.0,915.0,7240.0,9318.0,9754.0,10178.0,15155.0
金源北里安居小区,75.0,9122.0,956.0,6858.0,8686.0,9200.0,9688.0,11373.0
金源南里,105.0,10058.0,1219.0,6702.0,9167.0,10028.0,10862.0,15466.0
金源名府,33.0,11589.0,932.0,10065.0,10909.0,11604.0,11976.0,13990.0
金源小区,6.0,16709.0,831.0,16053.0,16130.0,16288.0,17258.0,17969.0
金源花园,1.0,22223.0,,22223.0,22223.0,22223.0,22223.0,22223.0
金源花园小区,1.0,8051.0,,8051.0,8051.0,8051.0,8051.0,8051.0
金潮影前花园,1.0,3438.0,,3438.0,3438.0,3438.0,3438.0,3438.0
金爵世家,1.0,9964.0,,9964.0,9964.0,9964.0,9964.0,9964.0
金玉星海,2.0,15564.0,3308.0,13225.0,14394.0,15564.0,16734.0,17903.0
金玛海景,1.0,16117.0,,16117.0,16117.0,16117.0,16117.0,16117.0
金生佳苑,1.0,16031.0,,16031.0,16031.0,16031.0,16031.0,16031.0
金盛家园,15.0,16438.0,2497.0,12883.0,15282.0,16076.0,17479.0,22873.0
金盛花园,2.0,3998.0,674.0,3521.0,3759.0,3998.0,4236.0,4474.0
金石城,11.0,11120.0,901.0,9929.0,10406.0,10985.0,12034.0,12130.0
金石小区,38.0,7045.0,1008.0,4990.0,6294.0,7102.0,7659.0,9213.0
金石明珠,54.0,8460.0,1207.0,5515.0,7923.0,8320.0,8954.0,13654.0
金福小区,12.0,11880.0,1151.0,10127.0,11208.0,11838.0,12497.0,13818.0
金福星大厦,1.0,7420.0,,7420.0,7420.0,7420.0,7420.0,7420.0
金秀园,5.0,7713.0,405.0,7126.0,7470.0,7873.0,8019.0,8076.0
金科理想城,28.0,9423.0,779.0,7790.0,8973.0,9444.0,10032.0,10786.0
金纺小区,142.0,7622.0,1143.0,4712.0,7030.0,7643.0,8321.0,11968.0
金纺纺校家属楼,1.0,5860.0,,5860.0,5860.0,5860.0,5860.0,5860.0
金纺馨公寓,14.0,7608.0,749.0,6480.0,6962.0,7642.0,8307.0,8608.0
金舍嘉苑,20.0,8327.0,812.0,6544.0,8116.0,8490.0,8853.0,9480.0
金色华庭,4.0,7849.0,1307.0,6687.0,6778.0,7698.0,8768.0,9314.0
